manufacturer,manufacturerLabel,countryLabel,headquartersLabel,coordinates
http://www.wikidata.org/entity/Q7090784,Омское моторостроительное конструкторское бюро,Россия,Омск,
http://www.wikidata.org/entity/Q17911,Пьяджо,Италия,Генуя,
http://www.wikidata.org/entity/Q136426,Ракетно-космический центр «Прогресс»,Россия,Самара,
http://www.wikidata.org/entity/Q968710,Рокетдайн,США,Канога-Парк,
http://www.wikidata.org/entity/Q773875,СНЕКМА,Франция,Париж,
http://www.wikidata.org/entity/Q773875,СНЕКМА,Франция,Эври,
http://www.wikidata.org/entity/Q773875,СНЕКМА,Франция,Куркурон,
http://www.wikidata.org/entity/Q15180,СССР,СССР,,Point(90.0 65.0)
http://www.wikidata.org/entity/Q1794589,Самарский научно-технический комплекс имени Н. Д. Кузнецова,Россия,Самара,
http://www.wikidata.org/entity/Q1961355,Сатурн (НПО),Россия,Рыбинск,
http://www.wikidata.org/entity/Q1849871,Турбомека,Франция,Борд,
http://www.wikidata.org/entity/Q1473229,Уральский автомобильный завод,Россия,Миасс,Point(60.124805555 55.0925)
http://www.wikidata.org/entity/Q520263,Фарман,Франция,Châteaufort,
http://www.wikidata.org/entity/Q679201,Фридрих Крупп АГ,Германия,Эссен,
http://www.wikidata.org/entity/Q679201,Фридрих Крупп АГ,Германия,Берндорф,
http://www.wikidata.org/entity/Q336811,ЧКД,Чехия,Прага,
http://www.wikidata.org/entity/Q336811,ЧКД,Чехословакия,Прага,
http://www.wikidata.org/entity/Q600277,Челябинский тракторный завод,Россия,Челябинск,
http://www.wikidata.org/entity/Q851367,Южмаш,Украина,Днепр,
http://www.wikidata.org/entity/Q261015,Ярославский моторный завод,Россия,Ярославль,Point(39.83703 57.64748)
http://www.wikidata.org/entity/Q9076905,конструкторском бюро под руководством А. Д. Швецова,СССР,,
